Date,P/OP,Gen,RT Busbar,RT Hub,DA Busbar,DA Hub,Season_1,Season_2,Season_3,Season_4,day_of_week,day_of_year,is_weekend,is_vacation,POD_Night,POD_Morning,POD_Afternoon,POD_Evening
4-Jan-22,1,22.7,16.86,17.2,19.7,18.92,1,0,0,0,1,4,0,0,0,0,1,0
4-Jan-22,1,17.9,4.71,4.75,18.54,17.94,1,0,0,0,1,4,0,0,0,0,1,0
4-Jan-22,1,23.8,10.16,10.25,18.15,17.58,1,0,0,0,1,4,0,0,0,0,1,0
4-Jan-22,1,34.0,18.88,19.15,21.4,21.14,1,0,0,0,1,4,0,0,0,0,1,0
4-Jan-22,1,28.4,31.32,31.63,43.76,43.69,1,0,0,0,1,4,0,0,0,0,0,1
4-Jan-22,1,43.3,27.12,27.53,33.9,33.83,1,0,0,0,1,4,0,0,0,0,0,1
4-Jan-22,1,50.1,20.3,21.42,28.24,28.92,1,0,0,0,1,4,0,0,0,0,0,1
4-Jan-22,1,54.1,19.51,20.9,23.06,25.66,1,0,0,0,1,4,0,0,0,0,0,1
4-Jan-22,1,40.3,20.47,21.19,20.85,24.1,1,0,0,0,1,4,0,0,0,0,0,1
4-Jan-22,0,30.5,15.72,19.31,17.65,25.0,1,0,0,0,1,4,0,0,0,0,0,1
4-Jan-22,0,6.9,-11.61,15.92,14.48,23.27,1,0,0,0,1,4,0,0,0,0,0,0
5-Jan-22,0,0.3,-13.41,18.01,5.9,21.09,1,0,0,0,2,5,0,0,1,0,0,0
5-Jan-22,0,8.8,-4.4,19.87,8.49,20.62,1,0,0,0,2,5,0,0,1,0,0,0
5-Jan-22,0,12.2,-3.77,19.89,12.44,21.13,1,0,0,0,2,5,0,0,1,0,0,0
5-Jan-22,0,6.6,-3.28,17.97,17.27,21.91,1,0,0,0,2,5,0,0,1,0,0,0
5-Jan-22,0,13.8,0.59,17.28,23.26,24.48,1,0,0,0,2,5,0,0,1,0,0,0
5-Jan-22,0,15.8,18.05,21.44,29.2,29.25,1,0,0,0,2,5,0,0,0,1,0,0
5-Jan-22,1,21.0,22.6,22.6,32.75,32.77,1,0,0,0,2,5,0,0,0,1,0,0
5-Jan-22,1,15.5,22.76,22.76,34.81,34.68,1,0,0,0,2,5,0,0,0,1,0,0
5-Jan-22,1,3.3,21.94,21.94,27.68,27.57,1,0,0,0,2,5,0,0,0,1,0,0
5-Jan-22,1,2.5,21.08,20.3,24.32,23.91,1,0,0,0,2,5,0,0,0,1,0,0
5-Jan-22,1,7.2,21.75,21.03,23.62,23.26,1,0,0,0,2,5,0,0,0,1,0,0
5-Jan-22,1,18.3,23.45,22.77,23.97,23.57,1,0,0,0,2,5,0,0,0,0,1,0
5-Jan-22,1,13.3,24.61,24.61,23.92,23.61,1,0,0,0,2,5,0,0,0,0,1,0
5-Jan-22,1,8.2,25.12,25.12,23.6,23.25,1,0,0,0,2,5,0,0,0,0,1,0
5-Jan-22,1,11.5,23.55,23.55,23.34,22.95,1,0,0,0,2,5,0,0,0,0,1,0
5-Jan-22,1,29.2,22.97,22.97,23.18,22.69,1,0,0,0,2,5,0,0,0,0,1,0
5-Jan-22,1,48.6,22.95,22.95,25.11,24.72,1,0,0,0,2,5,0,0,0,0,1,0
5-Jan-22,1,45.2,32.44,32.44,60.08,59.98,1,0,0,0,2,5,0,0,0,0,0,1
5-Jan-22,1,42.2,32.76,32.76,47.08,46.99,1,0,0,0,2,5,0,0,0,0,0,1
5-Jan-22,1,42.0,29.45,29.45,32.3,34.29,1,0,0,0,2,5,0,0,0,0,0,1
5-Jan-22,1,41.3,24.55,24.59,28.07,31.13,1,0,0,0,2,5,0,0,0,0,0,1
5-Jan-22,1,50.9,22.86,22.86,21.23,25.04,1,0,0,0,2,5,0,0,0,0,0,1
5-Jan-22,0,47.2,21.89,21.89,24.28,26.69,1,0,0,0,2,5,0,0,0,0,0,1
5-Jan-22,0,38.7,19.02,19.02,25.03,25.12,1,0,0,0,2,5,0,0,0,0,0,0
6-Jan-22,0,32.0,21.5,21.5,24.42,25.05,1,0,0,0,3,6,0,0,1,0,0,0
6-Jan-22,0,18.5,20.46,19.06,23.12,23.11,1,0,0,0,3,6,0,0,1,0,0,0
6-Jan-22,0,12.4,20.23,16.01,22.9,22.84,1,0,0,0,3,6,0,0,1,0,0,0
6-Jan-22,0,10.3,22.29,21.92,22.16,21.96,1,0,0,0,3,6,0,0,1,0,0,0
6-Jan-22,0,9.9,17.87,17.87,24.15,23.28,1,0,0,0,3,6,0,0,1,0,0,0
6-Jan-22,0,10.9,20.48,20.48,25.23,24.77,1,0,0,0,3,6,0,0,0,1,0,0
6-Jan-22,1,11.6,22.37,22.41,28.6,28.03,1,0,0,0,3,6,0,0,0,1,0,0
6-Jan-22,1,6.9,23.38,23.72,28.9,28.16,1,0,0,0,3,6,0,0,0,1,0,0
6-Jan-22,1,3.3,22.21,22.46,27.23,26.08,1,0,0,0,3,6,0,0,0,1,0,0
6-Jan-22,1,6.8,22.28,22.27,25.96,24.24,1,0,0,0,3,6,0,0,0,1,0,0
6-Jan-22,1,4.2,22.23,21.84,25.45,23.29,1,0,0,0,3,6,0,0,0,1,0,0
6-Jan-22,1,0.0,23.33,21.89,26.76,24.05,1,0,0,0,3,6,0,0,0,0,1,0
6-Jan-22,1,0.0,27.53,21.0,27.35,24.38,1,0,0,0,3,6,0,0,0,0,1,0
6-Jan-22,1,0.0,25.97,22.79,27.41,25.37,1,0,0,0,3,6,0,0,0,0,1,0
6-Jan-22,1,0.5,25.06,22.79,25.62,24.98,1,0,0,0,3,6,0,0,0,0,1,0
6-Jan-22,1,0.6,22.69,22.47,25.73,25.55,1,0,0,0,3,6,0,0,0,0,1,0
6-Jan-22,1,4.3,23.35,23.37,28.08,28.48,1,0,0,0,3,6,0,0,0,0,1,0
6-Jan-22,1,10.1,42.28,42.95,46.3,58.72,1,0,0,0,3,6,0,0,0,0,0,1
6-Jan-22,1,12.5,36.28,36.92,24.01,49.98,1,0,0,0,3,6,0,0,0,0,0,1
6-Jan-22,1,51.9,25.3,33.75,12.41,42.18,1,0,0,0,3,6,0,0,0,0,0,1
6-Jan-22,1,70.1,0.31,31.8,8.87,38.88,1,0,0,0,3,6,0,0,0,0,0,1
6-Jan-22,1,40.3,-2.07,32.41,-2.5,27.5,1,0,0,0,3,6,0,0,0,0,0,1
6-Jan-22,0,11.3,-5.86,25.83,-3.57,26.43,1,0,0,0,3,6,0,0,0,0,0,1
6-Jan-22,0,0.0,-16.49,28.31,-2.79,27.21,1,0,0,0,3,6,0,0,0,0,0,0
7-Jan-22,0,0.0,-17.84,28.62,-4.43,25.57,1,0,0,0,4,7,0,0,1,0,0,0
7-Jan-22,0,5.3,-8.15,30.4,-4.05,25.3,1,0,0,0,4,7,0,0,1,0,0,0
7-Jan-22,0,29.5,-2.62,33.01,0.01,25.46,1,0,0,0,4,7,0,0,1,0,0,0
7-Jan-22,0,42.4,10.28,39.1,1.24,26.53,1,0,0,0,4,7,0,0,1,0,0,0
7-Jan-22,0,49.0,39.13,42.49,5.88,28.7,1,0,0,0,4,7,0,0,1,0,0,0
7-Jan-22,0,47.1,26.19,37.63,11.96,31.19,1,0,0,0,4,7,0,0,0,1,0,0
7-Jan-22,1,46.4,39.3,162.55,56.39,74.31,1,0,0,0,4,7,0,0,0,1,0,0
7-Jan-22,1,39.7,128.9,153.47,46.85,61.17,1,0,0,0,4,7,0,0,0,1,0,0
7-Jan-22,1,28.1,97.53,102.64,34.01,39.29,1,0,0,0,4,7,0,0,0,1,0,0
7-Jan-22,1,18.4,46.75,44.92,26.88,29.42,1,0,0,0,4,7,0,0,0,1,0,0
7-Jan-22,1,20.2,58.71,59.32,25.7,26.58,1,0,0,0,4,7,0,0,0,1,0,0
7-Jan-22,1,27.5,59.44,59.61,26.51,26.89,1,0,0,0,4,7,0,0,0,0,1,0
7-Jan-22,1,19.6,39.56,39.58,25.07,24.87,1,0,0,0,4,7,0,0,0,0,1,0
7-Jan-22,1,14.1,42.86,43.15,25.26,24.82,1,0,0,0,4,7,0,0,0,0,1,0
7-Jan-22,1,21.2,34.55,35.28,22.34,21.41,1,0,0,0,4,7,0,0,0,0,1,0
7-Jan-22,1,23.6,38.23,31.12,22.14,21.3,1,0,0,0,4,7,0,0,0,0,1,0
7-Jan-22,1,14.3,46.55,41.9,23.61,22.88,1,0,0,0,4,7,0,0,0,0,1,0
7-Jan-22,1,11.5,135.43,136.6,28.97,28.46,1,0,0,0,4,7,0,0,0,0,0,1
7-Jan-22,1,12.3,62.59,41.07,29.36,29.21,1,0,0,0,4,7,0,0,0,0,0,1
7-Jan-22,1,8.3,86.94,37.74,26.5,26.24,1,0,0,0,4,7,0,0,0,0,0,1
7-Jan-22,1,10.7,59.58,29.9,24.9,25.11,1,0,0,0,4,7,0,0,0,0,0,1
7-Jan-22,1,9.4,101.05,36.24,23.14,25.0,1,0,0,0,4,7,0,0,0,0,0,1
7-Jan-22,0,4.8,56.79,30.03,23.95,25.81,1,0,0,0,4,7,0,0,0,0,0,1
7-Jan-22,0,3.2,35.78,28.72,25.43,25.08,1,0,0,0,4,7,0,0,0,0,0,0
8-Jan-22,0,3.4,28.16,28.95,35.55,35.76,1,0,0,0,5,8,1,0,1,0,0,0
8-Jan-22,0,1.7,27.15,27.87,30.4,30.47,1,0,0,0,5,8,1,0,1,0,0,0
8-Jan-22,0,1.2,26.2,26.84,27.53,27.55,1,0,0,0,5,8,1,0,1,0,0,0
8-Jan-22,0,0.0,25.93,26.55,26.39,26.42,1,0,0,0,5,8,1,0,1,0,0,0
8-Jan-22,0,0.0,30.28,26.29,27.5,27.59,1,0,0,0,5,8,1,0,1,0,0,0
8-Jan-22,0,0.0,36.51,26.31,26.13,26.21,1,0,0,0,5,8,1,0,0,1,0,0
8-Jan-22,0,0.0,25.31,23.38,27.5,27.41,1,0,0,0,5,8,1,0,0,1,0,0
8-Jan-22,0,0.0,25.23,23.22,32.1,32.56,1,0,0,0,5,8,1,0,0,1,0,0
8-Jan-22,0,0.0,30.45,25.46,36.99,37.59,1,0,0,0,5,8,1,0,0,1,0,0
8-Jan-22,0,0.0,50.06,27.95,37.33,37.83,1,0,0,0,5,8,1,0,0,1,0,0
8-Jan-22,0,0.0,28.81,25.41,31.53,32.13,1,0,0,0,5,8,1,0,0,1,0,0
8-Jan-22,0,0.0,26.45,26.55,29.65,29.96,1,0,0,0,5,8,1,0,0,0,1,0
8-Jan-22,0,0.0,26.11,26.66,25.11,26.2,1,0,0,0,5,8,1,0,0,0,1,0
8-Jan-22,0,0.0,26.06,26.12,22.56,24.54,1,0,0,0,5,8,1,0,0,0,1,0
8-Jan-22,0,0.0,24.34,24.13,18.65,22.26,1,0,0,0,5,8,1,0,0,0,1,0
8-Jan-22,0,0.0,22.36,22.21,15.07,21.94,1,0,0,0,5,8,1,0,0,0,1,0
8-Jan-22,0,0.0,22.97,23.03,9.68,23.4,1,0,0,0,5,8,1,0,0,0,1,0
8-Jan-22,0,0.0,132.07,132.07,32.37,49.37,1,0,0,0,5,8,1,0,0,0,0,1
8-Jan-22,0,0.0,90.47,90.47,25.4,42.63,1,0,0,0,5,8,1,0,0,0,0,1
8-Jan-22,0,0.0,27.55,27.55,20.42,30.43,1,0,0,0,5,8,1,0,0,0,0,1
8-Jan-22,0,0.3,24.35,24.35,19.27,24.59,1,0,0,0,5,8,1,0,0,0,0,1
8-Jan-22,0,2.0,21.56,21.56,18.43,23.52,1,0,0,0,5,8,1,0,0,0,0,1
8-Jan-22,0,32.3,22.03,22.03,21.96,26.21,1,0,0,0,5,8,1,0,0,0,0,1
8-Jan-22,0,38.7,21.51,21.51,17.73,22.59,1,0,0,0,5,8,1,0,0,0,0,0
9-Jan-22,0,34.1,22.54,22.54,22.82,23.95,1,0,0,0,6,9,1,0,1,0,0,0
9-Jan-22,0,23.6,19.82,19.82,17.75,19.55,1,0,0,0,6,9,1,0,1,0,0,0
9-Jan-22,0,27.3,4.77,4.77,17.72,18.42,1,0,0,0,6,9,1,0,1,0,0,0
9-Jan-22,0,25.3,1.94,1.94,17.52,17.34,1,0,0,0,6,9,1,0,1,0,0,0
9-Jan-22,0,15.8,5.89,6.07,19.34,19.04,1,0,0,0,6,9,1,0,0,1,0,0
9-Jan-22,0,11.1,16.3,16.75,22.14,21.7,1,0,0,0,6,9,1,0,0,1,0,0
9-Jan-22,0,5.3,16.67,16.96,23.15,22.22,1,0,0,0,6,9,1,0,0,1,0,0
9-Jan-22,0,0.5,17.91,18.43,24.94,23.73,1,0,0,0,6,9,1,0,0,1,0,0
9-Jan-22,0,0.5,21.74,21.05,25.9,23.95,1,0,0,0,6,9,1,0,0,1,0,0
9-Jan-22,0,2.6,21.03,21.05,27.31,24.22,1,0,0,0,6,9,1,0,0,1,0,0
9-Jan-22,0,4.3,20.94,20.73,29.15,24.78,1,0,0,0,6,9,1,0,0,0,1,0
9-Jan-22,0,2.2,24.05,21.71,29.89,24.65,1,0,0,0,6,9,1,0,0,0,1,0
9-Jan-22,0,4.5,24.54,22.55,30.25,24.26,1,0,0,0,6,9,1,0,0,0,1,0
9-Jan-22,0,9.7,24.53,23.67,28.23,23.47,1,0,0,0,6,9,1,0,0,0,1,0
9-Jan-22,0,9.6,20.81,19.75,28.66,24.63,1,0,0,0,6,9,1,0,0,0,1,0
9-Jan-22,0,6.4,21.87,21.05,26.37,25.0,1,0,0,0,6,9,1,0,0,0,1,0
9-Jan-22,0,1.4,25.2,25.2,39.91,41.3,1,0,0,0,6,9,1,0,0,0,0,1
9-Jan-22,0,3.7,27.41,27.41,38.12,42.9,1,0,0,0,6,9,1,0,0,0,0,1
9-Jan-22,0,59.2,14.98,25.58,29.24,37.49,1,0,0,0,6,9,1,0,0,0,0,1
9-Jan-22,0,63.4,-0.58,25.49,18.36,36.03,1,0,0,0,6,9,1,0,0,0,0,1
9-Jan-22,0,22.7,-3.49,22.01,6.07,30.56,1,0,0,0,6,9,1,0,0,0,0,1
9-Jan-22,0,17.4,-3.89,19.14,-3.5,25.2,1,0,0,0,6,9,1,0,0,0,0,1
9-Jan-22,0,14.5,-4.0,19.02,-6.3,23.7,1,0,0,0,6,9,1,0,0,0,0,0
10-Jan-22,0,14.6,-4.01,17.19,-5.42,25.0,1,0,0,0,0,10,0,0,1,0,0,0
10-Jan-22,0,14.5,-4.01,16.31,-8.5,21.5,1,0,0,0,0,10,0,0,1,0,0,0
10-Jan-22,0,14.6,-4.0,16.77,-7.28,22.73,1,0,0,0,0,10,0,0,1,0,0,0
10-Jan-22,0,14.5,-4.0,16.73,-6.44,23.56,1,0,0,0,0,10,0,0,1,0,0,0
10-Jan-22,0,15.1,-3.85,16.62,-3.45,26.55,1,0,0,0,0,10,0,0,1,0,0,0
10-Jan-22,0,20.4,-3.54,18.41,0.3,32.17,1,0,0,0,0,10,0,0,0,1,0,0
10-Jan-22,1,37.8,0.17,34.24,17.92,51.61,1,0,0,0,0,10,0,0,0,1,0,0
10-Jan-22,1,39.4,1.3,62.1,13.29,54.41,1,0,0,0,0,10,0,0,0,1,0,0
10-Jan-22,1,17.8,-3.72,54.23,-0.92,37.03,1,0,0,0,0,10,0,0,0,1,0,0
10-Jan-22,1,16.9,-4.0,32.99,-9.75,26.73,1,0,0,0,0,10,0,0,0,1,0,0
10-Jan-22,1,17.0,-3.88,31.01,-11.29,23.34,1,0,0,0,0,10,0,0,0,1,0,0
10-Jan-22,1,18.0,-3.72,24.21,-8.97,22.19,1,0,0,0,0,10,0,0,0,0,1,0
10-Jan-22,1,29.9,-2.59,22.94,-4.71,21.36,1,0,0,0,0,10,0,0,0,0,1,0
10-Jan-22,1,21.4,-2.62,21.04,2.28,21.57,1,0,0,0,0,10,0,0,0,0,1,0
10-Jan-22,1,20.1,13.62,21.68,5.58,21.51,1,0,0,0,0,10,0,0,0,0,1,0
10-Jan-22,1,27.3,23.2,23.2,17.02,22.27,1,0,0,0,0,10,0,0,0,0,1,0
10-Jan-22,1,22.8,27.41,27.34,22.95,25.62,1,0,0,0,0,10,0,0,0,0,1,0
10-Jan-22,1,29.6,39.28,39.7,68.19,70.63,1,0,0,0,0,10,0,0,0,0,0,1
10-Jan-22,1,36.2,39.56,40.16,66.83,68.25,1,0,0,0,0,10,0,0,0,0,0,1
10-Jan-22,1,51.4,4.8,36.52,41.38,42.27,1,0,0,0,0,10,0,0,0,0,0,1
10-Jan-22,1,50.5,2.23,37.5,39.58,40.47,1,0,0,0,0,10,0,0,0,0,0,1
10-Jan-22,1,53.6,4.91,36.75,29.61,31.05,1,0,0,0,0,10,0,0,0,0,0,1
10-Jan-22,0,45.7,10.92,31.28,32.9,34.18,1,0,0,0,0,10,0,0,0,0,0,1
10-Jan-22,0,34.0,5.69,27.09,29.24,31.15,1,0,0,0,0,10,0,0,0,0,0,0
11-Jan-22,0,39.7,1.25,25.36,23.26,31.39,1,0,0,0,1,11,0,0,1,0,0,0
11-Jan-22,0,25.8,-1.1,23.04,18.43,27.38,1,0,0,0,1,11,0,0,1,0,0,0
11-Jan-22,0,29.7,-1.61,22.41,15.01,25.22,1,0,0,0,1,11,0,0,1,0,0,0
11-Jan-22,0,23.1,-0.37,22.69,14.41,24.72,1,0,0,0,1,11,0,0,1,0,0,0
11-Jan-22,0,26.2,25.85,25.96,15.37,27.25,1,0,0,0,1,11,0,0,1,0,0,0
11-Jan-22,0,26.5,28.51,28.49,20.68,34.34,1,0,0,0,1,11,0,0,0,1,0,0
11-Jan-22,1,25.6,36.48,36.39,44.13,55.14,1,0,0,0,1,11,0,0,0,1,0,0
11-Jan-22,1,26.0,37.69,37.79,51.34,59.14,1,0,0,0,1,11,0,0,0,1,0,0
11-Jan-22,1,14.3,35.58,35.53,38.39,41.68,1,0,0,0,1,11,0,0,0,1,0,0
11-Jan-22,1,9.3,39.4,39.44,39.37,39.7,1,0,0,0,1,11,0,0,0,1,0,0
11-Jan-22,1,7.8,28.01,28.01,30.64,30.81,1,0,0,0,1,11,0,0,0,1,0,0
11-Jan-22,1,7.9,23.71,23.71,27.75,27.78,1,0,0,0,1,11,0,0,0,0,1,0
11-Jan-22,1,3.7,22.35,22.35,25.29,25.35,1,0,0,0,1,11,0,0,0,0,1,0
11-Jan-22,1,2.1,20.42,20.42,24.72,24.8,1,0,0,0,1,11,0,0,0,0,1,0
11-Jan-22,1,4.9,18.56,18.56,24.11,24.14,1,0,0,0,1,11,0,0,0,0,1,0
